# n_subhalo mass[Msun] radius[Mpc] sigma_p sigma_3D cm_vel_offset[km/s] dot_vel
1887 1.370768e+13 0.491842 239.367386 410.988442 0.322638 0.999999
4893 3.716400e+13 0.685821 289.536469 581.315687 18.814167 0.995569
1053 9.010852e+12 0.427655 205.119797 348.736477 1.610832 0.999990
681 3.784973e+12 0.320273 150.125793 267.498211 3.251877 0.999872
1437 8.461537e+12 0.418775 199.243500 347.881572 11.444543 0.997480
3177 1.222868e+13 0.473483 252.926300 434.289275 3.875293 0.999961
855 7.400753e+12 0.400507 196.341492 330.519104 4.921366 0.999800
993 5.107354e+12 0.353914 183.614243 303.634770 10.077385 0.999302
684 5.860446e+12 0.370520 154.367538 299.618656 15.096679 0.999917
2853 7.456211e+12 0.401501 193.295792 382.858341 25.034870 0.999250
603 4.525002e+12 0.339927 135.192215 275.903580 4.366474 0.999884
1209 1.066139e+13 0.452321 229.512024 380.362922 4.312500 0.999939
507 5.711516e+12 0.367341 179.839127 298.713565 8.409714 0.999777
1122 2.388156e+12 0.274703 171.552399 274.539873 9.148042 0.999966
