# n_subhalo mass[Msun] radius[Mpc] sigma_p sigma_3D cm_vel_offset[km/s] dot_vel
657 3.297195e+12 0.305874 128.657181 276.762725 3.142265 0.999984
1176 7.413207e+12 0.400715 187.143356 315.898619 0.911897 0.999992
678 2.445730e+12 0.276892 152.235138 261.444857 24.704624 0.995847
582 5.287244e+12 0.358014 178.192062 289.951390 2.095511 0.999945
1014 1.770500e+12 0.248625 148.501465 268.036989 8.663614 0.999789
1413 8.324986e+12 0.416514 182.604187 329.223605 2.276828 0.999994
2109 1.158774e+13 0.465052 222.323898 383.242738 5.566852 0.999952
951 7.297951e+12 0.398624 197.901718 324.583825 1.776280 0.999969
528 3.796432e+12 0.320598 161.242676 260.064501 11.118155 0.999832
822 4.669915e+12 0.343512 156.681778 290.525700 7.912497 0.999749
1092 2.754861e+12 0.288091 143.923645 292.417666 8.661886 0.999630
2928 1.780898e+13 0.536673 222.858780 430.907505 11.354267 0.999798
17949 1.035773e+14 0.965150 497.996887 786.709414 7.658368 0.999331
417 4.312421e+12 0.334501 166.295471 281.571624 1.645249 0.999994
2577 8.968097e+12 0.426983 232.945999 368.566767 9.074167 0.999767
681 3.784973e+12 0.320273 150.125793 267.498211 3.251877 0.999872
924 5.021323e+12 0.351926 164.893814 282.587774 13.427449 0.998189
531 4.413796e+12 0.337115 129.773758 268.190643 1.116328 0.999994
489 2.404114e+12 0.275314 126.044243 223.911395 2.093302 0.999997
951 5.415223e+12 0.360883 175.953964 282.823600 11.059312 0.997757
837 4.651575e+12 0.343066 169.250000 301.109432 0.921744 1.000000
1860 8.804977e+12 0.424377 193.596603 355.226114 15.047859 0.999623
1650 1.219523e+13 0.473042 253.988266 417.732150 9.642958 0.999877
2391 1.435631e+13 0.499486 250.156677 421.434865 0.341184 0.999999
498 4.984205e+12 0.351048 148.694458 266.397549 0.617344 0.999999
1830 5.687861e+12 0.366849 192.159317 365.722108 32.022938 0.957142
4191 2.011808e+13 0.558936 271.188110 468.523135 36.416283 0.998374
654 7.450855e+12 0.401384 189.784775 324.851523 0.517698 0.999997
40479 2.228717e+14 1.246021 676.759827 1138.286609 49.040165 0.957644
822 4.669915e+12 0.343512 156.681778 290.525700 7.912497 0.999749
1125 9.668964e+12 0.437830 211.215637 378.471157 0.775221 0.999993
6651 2.487388e+13 0.599910 271.966614 503.692568 8.258081 0.999458
2151 6.362026e+12 0.380800 249.465332 412.898899 35.067299 0.999292
672 3.617628e+12 0.315486 152.276733 261.924954 2.496853 0.999982
903 2.924582e+12 0.293892 162.567780 251.002653 32.006126 0.961646
663 5.458783e+12 0.361853 187.963776 313.092959 39.674061 0.994741
582 4.257768e+12 0.333093 151.825653 275.186059 2.045138 0.999980
501 2.746401e+12 0.287797 140.510147 251.520767 7.192784 0.999330
810 8.088232e+12 0.412523 195.972839 340.248827 3.131484 0.999794
528 2.213125e+12 0.267824 165.421143 284.779676 11.553761 0.999060
1869 4.786818e+12 0.346360 191.347321 336.689879 28.148214 0.998594
1230 7.420855e+12 0.400862 163.497101 330.078538 3.642641 0.999918
2376 6.889189e+12 0.391041 172.247787 338.619561 21.312353 0.998185
693 4.369918e+12 0.335989 163.385574 295.697181 2.796632 0.999998
1062 4.595997e+12 0.341687 157.176758 280.246765 30.822001 0.998849
2262 1.530419e+13 0.510242 245.461136 415.464035 7.781585 0.999522
6651 2.487388e+13 0.599910 271.966614 503.692568 8.258081 0.999458
1752 1.475855e+13 0.504115 231.757065 403.723374 15.876663 0.999763
7626 6.356684e+13 0.820204 385.819153 702.303505 16.234138 0.999302
6537 5.917877e+13 0.800853 368.603943 673.838519 10.147889 0.999056
951 7.297951e+12 0.398624 197.901718 324.583825 1.776280 0.999969
648 4.434767e+12 0.337648 151.255157 282.083948 0.525883 0.999998
1329 5.593804e+12 0.364820 211.914612 357.457688 28.756922 0.971633
567 6.605009e+12 0.385583 200.239471 323.613090 0.997317 0.999997
987 7.723222e+12 0.406241 181.538528 334.030593 26.815102 0.996065
1176 7.413207e+12 0.400715 187.143356 315.898619 0.911897 0.999992
993 5.107354e+12 0.353914 183.614243 303.634770 10.077385 0.999302
1332 1.403164e+13 0.495674 245.257523 425.717811 2.955349 0.999927
2658 1.266114e+13 0.478998 236.540421 399.620214 2.648604 0.999882
447 5.361494e+12 0.359692 149.584137 294.290906 0.817239 0.999997
2307 1.164767e+13 0.465845 221.639801 396.594008 6.053640 0.999644
2079 1.087245e+13 0.455281 197.563782 372.766431 0.997146 1.000000
1920 1.204400e+13 0.471079 210.464386 395.722972 14.849373 0.999416
558 6.070349e+12 0.374894 164.423065 327.591884 1.853598 0.999973
657 3.297195e+12 0.305874 128.657181 276.762725 3.142265 0.999984
840 8.272552e+12 0.415642 189.080231 340.010123 3.059575 0.999912
540 4.268932e+12 0.333384 166.820358 302.966513 62.974670 0.991085
