# d_radial[Mpc] v_radial[km/s] ra deg MAG_B MAG_K
28053.517578 1414.514160 71.104935 25.723303 -20.460812 -23.718250
28081.068359 1310.253906 71.446396 24.703003 -20.231535 -23.544586
27332.611328 1277.218750 76.528442 23.889166 -19.433306 -23.305847
28122.929688 1432.463379 77.636093 23.717482 -19.486502 -23.276814
27567.998047 1662.695679 77.520546 24.681393 -19.571871 -23.594582
27597.607422 517.202026 77.227295 24.117506 -19.916639 -23.577744
29015.263672 1701.883179 77.145599 23.154442 -19.414633 -22.927448
27468.308594 1462.601685 75.215141 26.981718 -19.728292 -22.930603
27852.408203 1430.885864 71.942665 28.179630 -19.728401 -22.495308
27183.878906 1513.843506 76.547928 25.943058 -19.153965 -22.964964
27087.472656 1804.093506 73.378883 29.198736 -18.598469 -22.451527
27320.363281 1558.765869 70.101364 26.865585 -19.403618 -22.453817
28101.039062 2647.435547 75.870644 24.704697 -20.147581 -23.026863
27193.242188 1847.425415 78.105354 24.651606 -19.436899 -22.603256
26798.326172 2409.177979 76.300751 24.752296 -19.710047 -22.703684
27570.550781 2386.162109 80.131241 25.277136 -18.891792 -22.349003
27837.164062 983.731201 75.493355 24.325970 -19.004257 -22.432783
27295.554688 1123.183228 73.111298 27.586258 -19.124350 -22.251762
27866.466797 1154.833496 75.863525 23.821671 -19.127144 -21.941832
27273.478516 2735.440918 79.722862 24.160236 -19.125021 -21.967434
28039.357422 2037.767456 75.056923 25.876410 -18.874252 -22.341997
28339.851562 2809.989502 77.199974 22.636387 -19.571228 -22.579124
27544.841797 2657.708740 79.367355 22.380774 -19.161816 -21.573551
27415.568359 2952.181641 78.590157 22.942577 -19.339396 -21.923943
28162.042969 1966.463989 76.753120 26.982409 -18.527252 -21.688217
27053.804688 1342.762939 77.218849 26.159815 -18.731987 -21.937605
26936.224609 1339.988281 78.880241 24.665771 -18.416574 -22.144796
27051.435547 2166.184082 77.294548 23.827250 -18.299341 -22.000994
27234.328125 1730.717041 74.930992 26.550249 -18.577202 -22.307926
27905.212891 2415.756104 79.007233 25.977564 -17.909506 -21.448236
28205.976562 1544.577881 77.250023 23.906446 -18.803942 -21.731899
27801.466797 1056.054321 72.125427 27.231163 -18.317377 -21.219143
27505.570312 1536.254395 80.940247 24.565033 -18.052717 -21.372303
27359.115234 1440.822388 74.474174 26.932425 -18.772751 -22.334192
26831.894531 1348.417847 79.421349 24.357683 -18.203119 -21.198381
27208.058594 2693.086670 77.441818 24.837837 -18.226337 -21.883068
28361.048828 1213.237915 71.330368 26.286180 -18.413282 -21.892031
27840.193359 2686.901855 76.528030 24.107794 -18.582001 -21.490335
28206.232422 2461.160645 77.049042 23.349260 -18.181778 -21.624126
27985.503906 2604.032227 76.561462 23.577900 -18.605040 -21.388029
27619.966797 2475.189453 76.000267 24.947586 -17.828276 -21.408827
28001.275391 2179.215332 76.856667 26.204012 -17.535517 -21.053297
28186.406250 1880.690918 79.355896 25.822014 -17.791895 -21.573847
27221.568359 2064.781494 76.884697 25.355738 -17.764263 -21.661135
28021.794922 1183.923218 71.581238 26.793539 -17.644718 -21.124195
27808.921875 2140.752930 76.407761 26.076992 -17.575073 -21.159733
28420.566406 1550.475830 71.715729 26.237753 -17.643362 -21.375126
27748.394531 1837.011841 77.497345 23.299290 -17.765322 -21.692678
27770.013672 1378.239746 74.261719 26.152294 -17.437576 -21.295033
27084.259766 2060.259277 79.530853 24.688639 -17.813688 -21.466990
28397.564453 2022.347412 77.365021 24.235435 -17.342159 -21.121834
27649.484375 1132.296631 77.281441 24.209747 -17.361023 -21.567226
27600.632812 1839.207764 77.871933 25.034021 -17.176908 -21.278711
49597.429688 3049.446045 273.603729 -32.025478 -21.183779 -25.152580
49704.933594 3214.620605 271.666046 -33.738655 -21.509995 -25.527193
49925.671875 3297.814209 272.125946 -32.643734 -21.242107 -25.163584
49433.714844 3157.083984 272.150513 -33.579292 -21.121492 -25.108679
49087.468750 3273.003906 272.922668 -31.662071 -20.988531 -24.626211
50241.867188 3189.310547 274.938202 -33.413715 -21.920286 -24.841513
49946.324219 3480.189941 271.348755 -33.656693 -21.169754 -24.968971
49092.519531 3463.055176 271.649200 -31.065248 -21.205364 -24.235540
49712.167969 3106.358398 271.854797 -31.681482 -21.198223 -24.323994
48899.621094 3480.017090 273.777954 -33.440651 -20.176598 -24.112896
