 log10_L ,        log10_M
 8.19900 ,  9162846.71922
 8.20000 ,  9163405.48050
 8.20100 ,  9163964.20770
 8.20200 ,  9164522.90084
 8.20300 ,  9165081.55992
 8.20400 ,  9165640.18495
 8.20500 ,  9166198.77594
 8.20600 ,  9166757.33288
 8.20700 ,  9167315.85580
 8.20800 ,  9167874.34469
 8.20900 ,  9168432.79956
 8.21000 ,  9168991.22041
 8.21100 ,  9169549.60726
 8.21200 ,  9170107.96011
 8.21300 ,  9170666.27896
 8.21400 ,  9171224.56382
 8.21500 ,  9171782.81470
 8.21600 ,  9172341.03160
 8.21700 ,  9172899.21453
 8.21800 ,  9173457.36350
 8.21900 ,  9174015.47851
 8.22000 ,  9174573.55957
 8.22100 ,  9175131.60669
 8.22200 ,  9175689.61986
 8.22300 ,  9176247.59910
 8.22400 ,  9176805.54441
 8.22500 ,  9177363.45581
 8.22600 ,  9177921.33329
 8.22700 ,  9178479.17686
 8.22800 ,  9179036.98653
 8.22900 ,  9179594.76230
 8.23000 ,  9180152.50418
 8.23100 ,  9180710.21218
 8.23200 ,  9181267.88630
 8.23300 ,  9181825.52655
 8.23400 ,  9182383.13293
 8.23500 ,  9182940.70546
 8.23600 ,  9183498.24413
 8.23700 ,  9184055.74896
 8.23800 ,  9184613.21995
 8.23900 ,  9185170.65710
 8.24000 ,  9185728.06042
 8.24100 ,  9186285.42992
 8.24200 ,  9186842.76561
 8.24300 ,  9187400.06748
 8.24400 ,  9187957.33556
 8.24500 ,  9188514.56983
 8.24600 ,  9189071.77031
 8.24700 ,  9189628.93701
 8.24800 ,  9190186.06993
 8.24900 ,  9190743.16908
 8.25000 ,  9191300.23446
 8.25100 ,  9191857.26608
 8.25200 ,  9192414.26395
 8.25300 ,  9192971.22806
 8.25400 ,  9193528.15844
 8.25500 ,  9194085.05508
 8.25600 ,  9194641.91799
 8.25700 ,  9195198.74717
 8.25800 ,  9195755.54264
 8.25900 ,  9196312.30440
 8.26000 ,  9196869.03245
 8.26100 ,  9197425.72680
 8.26200 ,  9197982.38746
 8.26300 ,  9198539.01443
 8.26400 ,  9199095.60772
 8.26500 ,  9199652.16734
 8.26600 ,  9200208.69329
 8.26700 ,  9200765.18557
 8.26800 ,  9201321.64420
 8.26900 ,  9201878.06918
 8.27000 ,  9202434.46051
 8.27100 ,  9202990.81821
 8.27200 ,  9203547.14227
 8.27300 ,  9204103.43271
 8.27400 ,  9204659.68953
 8.27500 ,  9205215.91273
 8.27600 ,  9205772.10233
 8.27700 ,  9206328.25832
 8.27800 ,  9206884.38072
 8.27900 ,  9207440.46953
 8.28000 ,  9207996.52476
 8.28100 ,  9208552.54641
 8.28200 ,  9209108.53449
 8.28300 ,  9209664.48900
 8.28400 ,  9210220.40996
 8.28500 ,  9210776.29736
 8.28600 ,  9211332.15121
 8.28700 ,  9211887.97153
 8.28800 ,  9212443.75831
 8.28900 ,  9212999.51156
 8.29000 ,  9213555.23129
 8.29100 ,  9214110.91750
 8.29200 ,  9214666.57020
 8.29300 ,  9215222.18940
 8.29400 ,  9215777.77510
 8.29500 ,  9216333.32731
 8.29600 ,  9216888.84603
 8.29700 ,  9217444.33127
 8.29800 ,  9217999.78303
 8.29900 ,  9218555.20133
 8.30000 ,  9219110.58617
 8.30100 ,  9219665.93755
 8.30200 ,  9220221.25548
 8.30300 ,  9220776.53997
 8.30400 ,  9221331.79102
 8.30500 ,  9221887.00863
 8.30600 ,  9222442.19282
 8.30700 ,  9222997.34360
 8.30800 ,  9223552.46096
 8.30900 ,  9224107.54491
 8.31000 ,  9224662.59546
 8.31100 ,  9225217.61261
 8.31200 ,  9225772.59637
 8.31300 ,  9226327.54675
 8.31400 ,  9226882.46376
 8.31500 ,  9227437.34739
 8.31600 ,  9227992.19766
 8.31700 ,  9228547.01456
 8.31800 ,  9229101.79812
 8.31900 ,  9229656.54832
 8.32000 ,  9230211.26519
 8.32100 ,  9230765.94872
 8.32200 ,  9231320.59892
 8.32300 ,  9231875.21579
 8.32400 ,  9232429.79935
 8.32500 ,  9232984.34960
 8.32600 ,  9233538.86655
 8.32700 ,  9234093.35019
 8.32800 ,  9234647.80054
 8.32900 ,  9235202.21760
 8.33000 ,  9235756.60138
 8.33100 ,  9236310.95189
 8.33200 ,  9236865.26913
 8.33300 ,  9237419.55310
 8.33400 ,  9237973.80382
 8.33500 ,  9238528.02128
 8.33600 ,  9239082.20550
 8.33700 ,  9239636.35648
 8.33800 ,  9240190.47423
 8.33900 ,  9240744.55875
 8.34000 ,  9241298.61004
 8.34100 ,  9241852.62813
 8.34200 ,  9242406.61300
 8.34300 ,  9242960.56467
 8.34400 ,  9243514.48314
 8.34500 ,  9244068.36842
 8.34600 ,  9244622.22051
 8.34700 ,  9245176.03943
 8.34800 ,  9245729.82517
 8.34900 ,  9246283.57774
 8.35000 ,  9246837.29715
 8.35100 ,  9247390.98341
 8.35200 ,  9247944.63651
 8.35300 ,  9248498.25647
 8.35400 ,  9249051.84330
 8.35500 ,  9249605.39699
 8.35600 ,  9250158.91755
 8.35700 ,  9250712.40500
 8.35800 ,  9251265.85933
 8.35900 ,  9251819.28055
 8.36000 ,  9252372.66867
 8.36100 ,  9252926.02370
 8.36200 ,  9253479.34563
 8.36300 ,  9254032.63448
 8.36400 ,  9254585.89025
 8.36500 ,  9255139.11295
 8.36600 ,  9255692.30258
 8.36700 ,  9256245.45915
